experiment,env,seed,budget,model,planning_horizon,return_mean,return_se,terminal_error_mean,terminal_error_se,exploitation_gap_mean,imagined_energy_drift_mean,divergence_rate
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,5,-29.448867174665907,5.517755034642285,0.17759115973624393,0.04730309183035978,-6.262418731732092e-10,0.8117126588228606,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,10,-24.350498162819417,4.866966616453373,0.18333372324367966,0.05242360715705582,-2.7336334677367327e-09,1.1101604951946566,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,20,-58.23263168035249,16.35118300934659,0.46772406738802785,0.15253220463954886,-3.5205755348025982e-09,3.5245619502238603,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,SG-Ham+Symp,30,-41.82526499477132,13.627410378201,0.31424288664447336,0.1325208726382907,3.4546087472146305e-09,3.961795657663044,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,1,-34.646320627468334,8.688499433691012,0.2767112384750417,0.04846899154854626,-5.946940496640944e-06,0.40604366932540475,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,5,-29.43729675884755,5.514504009014224,0.17834543363922015,0.04724975469604648,-1.4322193400140293e-06,0.8117133054100246,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,10,-24.39133487238043,4.890688572023887,0.18721590288171733,0.05459588440794099,-5.617192317626992e-05,1.1101539909706857,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,20,-58.35469922895075,16.373684023569748,0.4661575625200504,0.15479892924807298,0.0017298742422822144,3.525174956866044,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,DirectGraphNext,30,-41.67328106729829,13.611839055109161,0.31211038058577845,0.13374282032136509,0.0009600410436130247,3.962112440919444,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,1,-34.646320627468334,8.688499433691012,0.2767112384750417,0.04846899154854626,-5.958455946012779e-06,0.4060436230327906,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,5,-29.43729675884755,5.514504009014224,0.17834543363922015,0.04724975469604648,-1.5345430062948158e-06,0.8117131768693726,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,10,-24.39133487238043,4.890688572023887,0.18721590288171733,0.05459588440794099,-5.6583176240021515e-05,1.110153680092395,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,20,-58.35469922895075,16.373684023569748,0.4661575625200504,0.15479892924807298,0.0017283117953867944,3.5251743887169433,0.0
planning_horizon,coupled_oscillator_stabilization,1,512,GraphEuler,30,-41.67328106729829,13.611839055109161,0.31211038058577845,0.13374282032136509,0.0009567288475086736,3.96211170916254,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,SG-Ham+Symp,1,-36.59451132733461,9.959990811147001,0.40655409562191175,0.08424681068682577,-2.128732005483395e-10,0.4491907104564617,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,SG-Ham+Symp,5,-35.48851540306125,7.664947625260003,0.2388736233759403,0.03627091556641841,-1.558226288741101e-09,1.1706459590522396,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,SG-Ham+Symp,10,-36.36779840544072,10.49330444858397,0.18463508998809822,0.07820984954656511,-1.8324044503970072e-09,1.6833064370563566,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,SG-Ham+Symp,20,-44.20527103037433,7.875721510688489,0.2818942022086821,0.06543333623245122,3.5181836703183458e-09,2.883097164086633,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,SG-Ham+Symp,30,-46.72728447193047,12.862983734596964,0.36584774155700833,0.14906262960196986,-1.0053368508048758e-08,4.571615254368682,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,DirectGraphNext,1,-36.60009659840284,9.957534727319478,0.4063647375146513,0.08385854476652206,-3.938962667704438e-06,0.4491749594324836,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,DirectGraphNext,5,-35.43526934741955,7.675968060684195,0.23557774098337203,0.037350565658416,-3.25818341200268e-05,1.170635399217857,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,DirectGraphNext,10,-36.36090608421927,10.49399364092768,0.18215818634128803,0.0778906357731789,0.00017622410358756704,1.6833938198245224,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,DirectGraphNext,20,-44.17395456630706,7.865776171581716,0.28189799097556206,0.06543370891633803,0.0014665346312471665,2.883488795655254,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,DirectGraphNext,30,-46.62707804036643,12.872658162569856,0.35867016622902165,0.14902833696478002,0.005231706358532169,4.572991873986077,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,GraphEuler,1,-36.60009659840284,9.957534727319478,0.4063647375146513,0.08385854476652206,-3.953241366668377e-06,0.449174898456053,0.0
planning_horizon,coupled_oscillator_stabilization,2,512,GraphEuler,5,-35.43526934741955,7.675968060684195,0.23557774098337203,0.037350565658416,-3.2778397367483336e-05,1.1706351430761976,0.0
