experiment,env,seed,horizon,model,one_step_rmse,symplecticity_defect,rollout_rmse,max_energy_drift,final_energy_drift,divergence_rate
dynamics_rollout,spring_mass_chain,0,100,SympNoGraph,0.024888470640703212,2.4390644603070323e-11,0.622484102122189,0.11964577857866204,0.03192042189896142,0.0
dynamics_rollout,spring_mass_chain,0,250,SympNoGraph,0.024888470640703212,2.4390644603070323e-11,1.159116584567886,0.14796500320126113,0.1291359551442349,0.0
dynamics_rollout,spring_mass_chain,0,500,SympNoGraph,0.024888470640703212,2.4390644603070323e-11,1.2467662985928465,0.12089570272137277,0.025081505429747287,0.0
dynamics_rollout,spring_mass_chain,0,1,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,1.9441239869362223e-08,2.8583929652492226e-05,2.8583929652492226e-05,0.0
dynamics_rollout,spring_mass_chain,0,10,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,1.6811382301529052e-07,0.00042317770339372576,0.0004077981043520157,0.0
dynamics_rollout,spring_mass_chain,0,25,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,4.4445933332661946e-07,0.0007639217183478792,0.0006089513221532739,0.0
dynamics_rollout,spring_mass_chain,0,50,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,9.122688054461876e-07,0.0008505054307724223,0.0004333564600124161,0.0
dynamics_rollout,spring_mass_chain,0,100,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,1.6070659194117721e-06,0.0007943721468548315,0.0005508057846833245,0.0
dynamics_rollout,spring_mass_chain,0,250,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,4.132280883715019e-06,0.0008657776868441283,0.0003819942444579628,0.0
dynamics_rollout,spring_mass_chain,0,500,DenseLinearNext,2.6271289444249015e-08,2.5540554092142934e-07,8.509863993677495e-06,0.0009009803052127274,0.0004271730689131864,0.0
dynamics_rollout,oscillator_graph_cycle,0,1,SG-Ham+Symp,1.401344453027011e-10,4.0298509764700344e-11,8.759065789163241e-11,2.9177216680480343e-05,2.9177216680480343e-05,0.0
dynamics_rollout,oscillator_graph_cycle,0,10,SG-Ham+Symp,1.401344453027011e-10,4.0298509764700344e-11,6.75689450753997e-10,0.00044358330080864123,0.00043109513341558657,0.0
dynamics_rollout,oscillator_graph_cycle,0,25,SG-Ham+Symp,1.401344453027011e-10,4.0298509764700344e-11,1.310159661239973e-09,0.0008637494602652699,0.0006703180920670336,0.0
dynamics_rollout,oscillator_graph_cycle,0,50,SG-Ham+Symp,1.401344453027011e-10,4.0298509764700344e-11,1.9750250945882267e-09,0.0009776067214864116,0.0005472053662665587,0.0
dynamics_rollout,oscillator_graph_cycle,0,100,SG-Ham+Symp,1.401344453027011e-10,4.0298509764700344e-11,3.5783198847734496e-09,0.0008797969222998691,0.0005782840525071377,0.0
dynamics_rollout,oscillator_graph_cycle,0,250,SG-Ham+Symp,1.401344453027011e-10,4.0298509764700344e-11,9.806316065718305e-09,0.0009199754361069526,0.0005656361630797133,0.0
dynamics_rollout,oscillator_graph_cycle,0,500,SG-Ham+Symp,1.401344453027011e-10,4.0298509764700344e-11,1.7805694651701296e-08,0.0009944475430059046,0.00027156965577502054,0.0
dynamics_rollout,oscillator_graph_cycle,0,1,DirectGraphNext,1.985771833393227e-05,2.4450390639284576e-06,5.974806809659273e-06,3.0184914513586543e-05,3.0184914513586543e-05,0.0
